,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
766,1289,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,59:00.0,00:00.0,59:00.0,0,0,1,2,1,-1,0,0
2567,1293,3/15/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,46:00.0,44:00.0,43:00.0,42:00.0,1,2,3,2,-1,0,-1,1
2580,1293,3/18/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,46:00.0,44:00.0,43:00.0,43:00.0,1,1,3,2,-1,0,-1,0
11874,1295,3/31/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,24:00.0,22:00.0,21:00.0,21:00.0,1,1,2,2,0,0,0,0
13669,1293,3/1/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,59:00.0,59:00.0,56:00.0,57:00.0,1,2,1,0,-1,2,1,1
14483,1293,3/18/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,08:00.0,1,2,4,3,-1,0,-1,1
14484,1293,3/19/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
14485,1293,3/13/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
14669,1293,3/1/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,11:00.0,09:00.0,09:00.0,1,2,4,2,-2,1,-1,1
16334,1295,3/2/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,42:00.0,39:00.0,38:00.0,37:00.0,1,2,4,3,-1,0,-1,1
17374,1291,3/17/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,09:00.0,05:00.0,38:00.0,04:00.0,1,1,4,4,0,26,26,0
17795,1293,3/26/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,17:00.0,15:00.0,14:00.0,14:00.0,1,1,3,2,-1,0,-1,0
18007,1293,3/15/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,19:00.0,19:00.0,19:00.0,0,0,2,1,-1,0,-1,0
18008,1293,3/21/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,19:00.0,19:00.0,19:00.0,0,0,2,1,-1,0,-1,0
18009,1293,3/11/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
18011,1293,3/19/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
18012,1293,3/18/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,19:00.0,19:00.0,19:00.0,0,0,2,1,-1,0,-1,0
26151,1295,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,02:00.0,01:00.0,01:00.0,01:00.0,0,0,1,1,0,0,0,0
28073,1291,3/17/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,59:00.0,54:00.0,28:00.0,53:00.0,1,1,5,5,0,25,25,0
32104,1293,3/6/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,20:00.0,17:00.0,14:00.0,16:00.0,1,1,3,3,0,2,2,0
32166,1293,3/14/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,20:00.0,18:00.0,14:00.0,16:00.0,1,2,3,2,-1,3,2,1
39568,1293,3/13/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
