Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång,Start,End,Path
6730.0,2019-03-02,GT,GODS,Uppehåll,Passage,2,Vagntillkoppling av godsvagnar,0,-,1,Fs,Blg,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-02 10:16:00.000,2019-03-02 10:23:00.000,2019-03-02 08:58:00.000,2019-03-02 08:56:00.000,,,,,7,2.0,-5.0,-80.0,-85.0,,Acm,Blg,Acm
6730.0,2019-03-02,GT,GODS,Första,Passage,2,Vagntillkoppling av godsvagnar,0,-,1,Fs,Blg,Fors,Fs,Jularbo,Ju,2019-03-02 09:33:00.000,2019-03-02 09:41:00.000,2019-03-02 08:24:00.000,2019-03-02 08:19:00.000,,,,,8,5.0,-3.0,-74.0,-77.0,,Acm,Blg,Ju
6730.0,2019-03-02,GT,GODS,Passage,Uppehåll,0,-,0,-,2,Fs,Blg,Avesta Centrum,Acm,Snickarbo,Snb,2019-03-02 10:23:00.000,2019-03-02 10:30:00.000,2019-03-02 09:05:00.000,,2019-03-02 10:23:00.000,2019-03-02 08:58:00.000,0.0,,7,,,,-85.0,,Acm,Blg,Snb
6730.0,2019-03-02,GT,GODS,Passage,Uppehåll,0,-,2,Vagntillkoppling av godsvagnar,2,Fs,Blg,Jularbo,Ju,Avesta Krylbo,Avky,2019-03-02 09:41:00.000,2019-03-02 09:46:00.000,2019-03-02 08:28:00.000,2019-03-02 08:24:00.000,2019-03-02 09:41:00.000,2019-03-02 08:24:00.000,0.0,0.0,5,4.0,-1.0,-77.0,-78.0,0.0,Acm,Blg,Avky
6730.0,2019-03-02,GT,GODS,Uppehåll,Passage,0,-,0,-,3,Fs,Blg,Snickarbo,Snb,Hedemora,Hdm,2019-03-02 10:50:00.000,2019-03-02 11:00:00.000,2019-03-02 09:13:00.000,2019-03-02 09:05:00.000,2019-03-02 10:30:00.000,2019-03-02 09:05:00.000,20.0,0.0,10,8.0,-2.0,-105.0,-107.0,-20.0,Acm,Blg,Hdm
6730.0,2019-03-02,GT,GODS,Passage,Passage,0,-,0,-,4,Fs,Blg,Hedemora,Hdm,Vikmanshyttan,Vhy,2019-03-02 11:00:00.000,2019-03-02 11:06:00.000,2019-03-02 09:17:00.000,2019-03-02 09:13:00.000,2019-03-02 11:00:00.000,2019-03-02 09:13:00.000,0.0,0.0,6,4.0,-2.0,-107.0,-109.0,0.0,Acm,Blg,Vhy
6730.0,2019-03-02,GT,GODS,Passage,Passage,0,-,0,-,5,Fs,Blg,Vikmanshyttan,Vhy,Säter,St,2019-03-02 11:06:00.000,2019-03-02 11:13:00.000,2019-03-02 09:22:00.000,2019-03-02 09:17:00.000,2019-03-02 11:06:00.000,2019-03-02 09:17:00.000,0.0,0.0,7,5.0,-2.0,-109.0,-111.0,0.0,Acm,Blg,St
6730.0,2019-03-02,GT,GODS,Passage,Passage,0,-,0,-,6,Fs,Blg,Säter,St,Gustafs,Gtf,2019-03-02 11:13:00.000,2019-03-02 11:22:00.000,2019-03-02 09:29:00.000,2019-03-02 09:22:00.000,2019-03-02 11:13:00.000,2019-03-02 09:22:00.000,0.0,0.0,9,7.0,-2.0,-111.0,-113.0,0.0,Acm,Blg,Gtf
6730.0,2019-03-02,GT,GODS,Passage,Passage,0,-,0,-,7,Fs,Blg,Gustafs,Gtf,Stora Tuna,Sau,2019-03-02 11:22:00.000,2019-03-02 11:27:00.000,2019-03-02 09:34:00.000,2019-03-02 09:29:00.000,2019-03-02 11:22:00.000,2019-03-02 09:29:00.000,0.0,0.0,5,5.0,0.0,-113.0,-113.0,0.0,Acm,Blg,Sau
6730.0,2019-03-02,GT,GODS,Passage,Sista,0,-,20,Vagnavkoppling av godsvagnar,8,Fs,Blg,Stora Tuna,Sau,Borlänge c,Blg,2019-03-02 11:27:00.000,2019-03-02 11:34:00.000,2019-03-02 09:43:00.000,2019-03-02 09:34:00.000,2019-03-02 11:27:00.000,2019-03-02 09:34:00.000,0.0,0.0,7,9.0,2.0,-113.0,-111.0,0.0,Acm,Blg,Blg
