Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång,Delay_Departure,Delay_Arrival,Start,End,Path,AvgFörsening_Imputed
5576.0,2019-03-01,TJT,-,Första,Passage,22,Vagn av- och tillkoppling av godsvagnar,0,-,1,Gsh,Blg,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-02 05:03:00,2019-03-02 05:06:00,2019-03-02 01:11:00,2019-03-02 01:07:00,,,,,3,4.0,1.0,-236.0,-235.0,,-236.0,-235.0,Acm,Avky,Acm,-236.0
5576.0,2019-03-01,GT,GODS,Första,Passage,2,Vagntillkoppling av godsvagnar,0,-,1,Gsh,Blg,Göteborg Skandiahamnen,Gsh,Pölsebo,Pöb,2019-03-01 18:00:00,2019-03-01 18:05:00,2019-03-01 18:29:00,2019-03-01 18:24:00,,,,,5,5.0,0.0,24.0,24.0,,24.0,24.0,Acm,Avky,Pöb,24.0
5576.0,2019-03-01,GT,GODS,Passage,Passage,0,-,0,-,2,Gsh,Blg,Pölsebo,Pöb,Göteborg Kville,Gk,2019-03-01 18:05:00,2019-03-01 18:15:00,2019-03-01 18:37:00,2019-03-01 18:29:00,2019-03-01 18:05:00.000,2019-03-01 18:29:00.000,0.0,0.0,10,8.0,-2.0,24.0,22.0,0.0,24.0,22.0,Acm,Avky,Gk,24.0
5576.0,2019-03-01,TJT,-,Passage,Passage,0,-,0,-,2,Gsh,Blg,Avesta Centrum,Acm,Snickarbo,Snb,2019-03-02 05:06:00,2019-03-02 05:10:00,2019-03-02 01:15:00,,2019-03-02 05:06:00.000,2019-03-02 01:11:00.000,0.0,,4,,,,-235.0,,,-235.0,Acm,Avky,Snb,
5576.0,2019-03-01,TJT,-,Passage,Passage,0,-,0,-,3,Gsh,Blg,Snickarbo,Snb,Hedemora,Hdm,2019-03-02 05:10:00,2019-03-02 05:17:00,2019-03-02 01:22:00,2019-03-02 01:15:00,2019-03-02 05:10:00.000,2019-03-02 01:15:00.000,0.0,0.0,7,7.0,0.0,-235.0,-235.0,0.0,-235.0,-235.0,Acm,Avky,Hdm,-235.0
5576.0,2019-03-01,GT,GODS,Passage,Passage,0,-,0,-,3,Gsh,Blg,Göteborg Kville,Gk,Olskroken,Or,2019-03-01 18:15:00,2019-03-01 18:18:00,2019-03-01 18:41:00,2019-03-01 18:37:00,2019-03-01 18:15:00.000,2019-03-01 18:37:00.000,0.0,0.0,3,4.0,1.0,22.0,23.0,0.0,22.0,23.0,Acm,Avky,Or,22.0
5576.0,2019-03-01,TJT,-,Passage,Passage,0,-,0,-,4,Gsh,Blg,Hedemora,Hdm,Vikmanshyttan,Vhy,2019-03-02 05:17:00,2019-03-02 05:20:00,2019-03-02 01:26:00,2019-03-02 01:22:00,2019-03-02 05:17:00.000,2019-03-02 01:22:00.000,0.0,0.0,3,4.0,1.0,-235.0,-234.0,0.0,-235.0,-234.0,Acm,Avky,Vhy,-235.0
5576.0,2019-03-01,GT,GODS,Passage,Passage,0,-,0,-,4,Gsh,Blg,Olskroken,Or,Göteborg Sävenäs,Gsv,2019-03-01 18:18:00,2019-03-01 18:19:00,2019-03-01 18:41:00,2019-03-01 18:41:00,2019-03-01 18:18:00.000,2019-03-01 18:41:00.000,0.0,0.0,1,0.0,-1.0,23.0,22.0,0.0,23.0,22.0,Acm,Avky,Gsv,23.0
5576.0,2019-03-01,GT,GODS,Passage,Uppehåll,0,-,0,Uppehåll av teknisk/personalrelaterad typ,5,Gsh,Blg,Göteborg Sävenäs,Gsv,Sävenäs rangerbangård,Sär,2019-03-01 18:19:00,2019-03-01 18:22:00,2019-03-01 18:35:00,2019-03-01 18:41:00,2019-03-01 18:19:00.000,2019-03-01 18:41:00.000,0.0,0.0,3,-6.0,-9.0,22.0,13.0,0.0,22.0,13.0,Acm,Avky,Sär,22.0
5576.0,2019-03-01,TJT,-,Passage,Passage,0,-,0,-,5,Gsh,Blg,Vikmanshyttan,Vhy,Säter,St,2019-03-02 05:20:00,2019-03-02 05:25:00,2019-03-02 01:31:00,2019-03-02 01:26:00,2019-03-02 05:20:00.000,2019-03-02 01:26:00.000,0.0,0.0,5,5.0,0.0,-234.0,-234.0,0.0,-234.0,-234.0,Acm,Avky,St,-234.0
